Key,Model,Variant,MRP,Offer Price,Display,Camera,Storage,Chipset,Colour,Image
1,iPhone 13,128GB,"59,900","50,763",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,128GB,A15 Bionic Chip Processor,Blue ,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-blue?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693063678624
2,iPhone 13,256GB,"69,900","59,237",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,256GB,A15 Bionic Chip Processor,Blue ,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-blue?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693063678624
3,iPhone 13,512GB,"89,900","76,186",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,512GB,A15 Bionic Chip Processor,Blue ,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-blue?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693063678624
4,iPhone 13,128GB,"59,900","50,763",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,128GB,A15 Bionic Chip Processor,Pink,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-pink?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693063160403
5,iPhone 13,256GB,"69,900","59,237",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,256GB,A15 Bionic Chip Processor,Pink,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-pink?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693063160403
6,iPhone 13,512GB,"89,900","76,186",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,512GB,A15 Bionic Chip Processor,Pink,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-pink?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693063160403
7,iPhone 13,128GB,"59,900","50,763",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,s,A15 Bionic Chip Processor,Midnight,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-midnight?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693064181063
8,iPhone 13,256GB,"69,900","59,237",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,256GB,A15 Bionic Chip Processor,Midnight,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-midnight?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693064181063
9,iPhone 13,512GB,"89,900","76,186",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,512GB,A15 Bionic Chip Processor,Midnight,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-midnight?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693064181063
10,iPhone 13,128GB,"59,900","50,763",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,128GB,A15 Bionic Chip Processor,Starlight ,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-starlight?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693064001768
11,iPhone 13,256GB,"69,900","59,237",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,256GB,A15 Bionic Chip Processor,Starlight ,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-starlight?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693064001768
12,iPhone 13,512GB,"89,900","76,186",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,512GB,A15 Bionic Chip Processor,Starlight ,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-starlight?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693064001768
13,iPhone 13,128GB,"59,900","50,763",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,128GB,A15 Bionic Chip Processor,Green,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-green?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693064083582
14,iPhone 13,256GB,"69,900","59,237",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,256GB,A15 Bionic Chip Processor,Green,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/iphone-13-finish-select-202207-green?wid=2560&hei=1440&fmt=p-jpg&qlt=80&.v=1693064083582
